Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Dealers_Total,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg
YES,28.62622997941617,-85.36977829018682,30.804006755434425,26.447753149505647,-82.90149089906343,-87.8380656813102,16,0,"(28.62622997941617, -85.36977829018682)",789232.0,16_0_yes,62,62.0,7.855738236665518e-05,7.855738236665518e-05,1.0
YES,28.71640666554745,-90.30846077636345,30.89415374294654,26.537958132888303,-87.83806174015324,-92.77885981257366,17,0,"(28.71640666554745, -90.30846077636345)",3214595.0,17_0_yes,136,136.0,4.230704023368418e-05,4.230704023368418e-05,1.0
YES,28.806919812305424,-95.25138417931409,30.984637025248837,26.62849974457013,-92.7788558316751,-97.72391252695309,18,0,"(28.806919812305424, -95.25138417931409)",8406307.0,18_0_yes,272,272.0,3.235665792362806e-05,3.235665792362806e-05,1.0
YES,28.897771249723824,-100.19858402028008,31.07545843145521,26.71937981556936,-97.72390850578331,-102.67325953477682,19,0,"(28.897771249723824, -100.19858402028007)",3253081.0,19_0_yes,119,119.0,3.6580706105996134e-05,3.6580706105996134e-05,1.0
YES,28.98896282433937,-105.15009620132842,31.166619807177632,26.81060019341299,-102.67325547279704,-107.6269369298598,20,0,"(28.988962824339374, -105.15009620132842)",20355.0,20_0_yes,2,2.0,9.825595676737903e-05,9.825595676737903e-05,1.0
YES,32.740317426775825,-78.39462533170573,34.91668803043073,30.56319017584766,-75.81952319633952,-80.96972746707193,27,0,"(32.740317426775825, -78.39462533170573)",2684249.0,27_0_yes,118,118.0,4.3960154218181695e-05,4.3960154218181695e-05,1.0
YES,32.84647579893558,-83.54788054035659,35.02280886020048,30.66938483377232,-80.9697212588975,-86.12603982181568,28,0,"(32.84647579893558, -83.54788054035659)",11436113.0,28_0_yes,470,470.0,4.109788002269652e-05,4.109788002269652e-05,1.0
YES,32.95306515490903,-88.70727861066385,35.12936046464213,30.776010690107853,-86.12603354063944,-91.28852368068826,29,0,"(32.95306515490903, -88.70727861066385)",4609177.0,29_0_yes,296,296.0,6.421970776995547e-05,6.421970776995547e-05,1.0
YES,33.06008827128917,-93.87287718537708,35.23634561920015,30.883070522708827,-91.28851732534352,-96.45723704541062,30,0,"(33.06008827128917, -93.87287718537708)",3846288.0,30_0_yes,201,201.0,5.225817723477805e-05,5.225817723477805e-05,1.0
YES,33.167547955326,-99.04473463120472,35.34376712996999,30.990567140094296,-96.4572306147064,-101.63223864770308,31,0,"(33.167547955326, -99.04473463120473)",8575919.0,31_0_yes,291,291.0,3.393222347365921e-05,3.393222347365921e-05,1.0
